customer_id,name,email,join_date,country,loyalty_points
1,Norma Fisher,ysullivan@yahoo.com,2023-10-23,Guinea-Bissau,6311
2,Susan Wagner,katelynmontgomery@yahoo.com,2024-04-14,Romania,6890
3,Stephanie Collins,thomas15@stewart-bowman.com,2024-06-15,Lesotho,663
4,Joseph Brown,cortezraymond@garrett.com,2021-10-30,Saint Lucia,4242
5,Seth Lee,lindathomas@west.net,2023-12-02,Botswana,8376
6,Eddie Martinez,tamaramorrison@hotmail.com,2022-03-15,Kenya,7961
7,Robert Stewart,ivan20@zavala.com,2021-01-10,Uzbekistan,6634
8,Bobby Lyons,aimee33@hotmail.com,2023-04-29,Morocco,4969
9,Johnathan Davidson,nguyendarrell@hotmail.com,2022-08-10,Tanzania,7808
10,Alan Nelson,laura56@garcia.com,2020-02-21,Svalbard & Jan Mayen Islands,5866
11,Susan Ferguson,martinezjacob@wilson.com,2020-01-25,Netherlands,9558
12,Tyler Lopez,zclark@giles.net,2023-05-18,Nicaragua,3578
13,David Walker,ryan08@yahoo.com,2020-02-03,Nauru,8268
14,William Gonzalez,kmassey@gmail.com,2021-06-26,Seychelles,2281
15,Michael Bruce,david72@gmail.com,2023-10-08,Pitcairn Islands,4617
16,Keith Romero,paul42@hotmail.com,2019-11-11,Kuwait,2289
17,Gabriella Williams,johnbenton@yahoo.com,2022-03-16,Peru,1553
18,Travis Schultz,paul61@wheeler.com,2021-02-12,Dominican Republic,4104
19,Jerome Page,moralesjacqueline@yahoo.com,2020-02-26,Chad,8725
20,David Moore,hensontroy@yahoo.com,2023-09-23,Australia,9861
21,Sheri Burnett,monroedavid@morales.biz,2022-06-12,Afghanistan,2407
22,Mitchell Smith,davidbanks@ramirez-good.com,2023-10-20,Timor-Leste,5081
23,Lori Johnson,callahandennis@hotmail.com,2022-09-16,Brazil,1618
24,Diana Smith,eringrant@mays-browning.com,2023-12-18,Rwanda,1208
25,Judy Graham,nicholascarter@hernandez.com,2022-11-17,Saint Barthelemy,5409
26,Richard Johnson,edwardsilva@yahoo.com,2023-02-11,Mayotte,7735
27,Brian Cross,hayden81@powell-murphy.biz,2020-09-05,Bolivia,9171
28,Karen Rogers,mendozaholly@yahoo.com,2020-01-29,Gabon,1649
29,Michael Moore,odrake@jones.com,2021-08-20,Bahamas,5796
30,Brent Hawkins,ymora@hotmail.com,2021-08-08,Jamaica,7113
31,Daniel Duarte,hlee@short.com,2024-03-24,Korea,5180
32,Christina Crawford,danielleshea@gmail.com,2020-12-31,Bosnia and Herzegovina,3350
33,James Payne,hintontonya@elliott.biz,2024-03-10,Lithuania,9052
34,Stacy Bass,amyvelazquez@gmail.com,2022-08-26,Romania,7815
35,Stephanie Meyers,nancymorrison@kirby.com,2023-10-04,Bahrain,7253
36,Kellie Sexton,davidturner@rivera-martin.com,2023-09-04,Holy See (Vatican City State),8541
37,Stephanie Shaw,burgessrebecca@roberts.biz,2023-11-10,Tanzania,4267
38,Jasmine Willis,yangkevin@scott.com,2023-03-24,Hungary,1020
39,Amy Davidson,justingreer@mcmahon.biz,2020-12-14,Liechtenstein,8989
40,Lindsay Miller,robert97@ellis-garcia.com,2019-12-05,Antigua and Barbuda,230
41,Brandi Nguyen,patrickfrank@yahoo.com,2020-09-12,Turkmenistan,1528
42,Michael Mendez,montesjennifer@yahoo.com,2020-11-01,United States Minor Outlying Islands,6534
43,Edward Reese,benjaminmyers@sherman-gibson.com,2020-02-19,United Arab Emirates,18
44,Katelyn Santana,claytonweiss@chan.com,2020-09-20,Cameroon,8086
45,Keith Livingston,abrown@navarro.info,2023-06-04,Poland,5458
46,Jonathan Shields,christian11@yahoo.com,2020-01-03,Guatemala,3996
47,Adam Mccann,carlsondouglas@gmail.com,2021-07-01,Palestinian Territory,5328
48,Teresa Martinez,mike09@villarreal.info,2020-09-17,Lesotho,1031
49,Tyler Anderson,matthew44@fields.com,2024-04-16,Morocco,3130
50,James Thomas,lesliesanchez@carter.com,2020-11-17,Nepal,9298
51,Blake Jones,andrea29@yahoo.com,2022-04-16,Northern Mariana Islands,3632
52,David Chen,aortiz@valenzuela.info,2020-07-12,Zambia,3909
53,Brian Rodriguez,lhebert@reynolds-wright.info,2022-08-26,Vietnam,2334
54,Heather Welch,sfischer@greer.org,2023-09-08,Albania,8896
55,Brian Irwin,rogerpotter@gmail.com,2023-12-28,Senegal,7339
56,Kimberly Sullivan,nelsonelizabeth@scott.org,2023-02-16,Kenya,1494
57,David Campbell,johnsonlaura@ferguson-wilson.com,2021-02-23,Bangladesh,1318
58,Dylan Meyer,jenkinscynthia@figueroa-strong.com,2022-03-30,Kenya,5243
59,Mark Moore,dmorales@castro.com,2023-10-11,Samoa,8322
60,John Neal,dpearson@yahoo.com,2022-04-23,Cambodia,8016
61,Amy Howell,thomas08@mcdaniel.biz,2019-10-23,Guyana,1786
62,Marc Key,donaldberry@gmail.com,2020-08-26,Jordan,4938
63,Gary Jackson,thernandez@gmail.com,2024-03-19,Germany,9031
64,Thomas Wallace,yroman@hotmail.com,2021-08-18,South Africa,4769
65,Todd Willis,ojohnson@pitts.com,2021-03-25,Djibouti,2044
66,Lisa Bush,robert08@hotmail.com,2024-05-30,Venezuela,8969
67,Jessica Gibson,rlewis@gmail.com,2020-02-17,Austria,5451
68,Aaron Pena,buchananerin@sanders.com,2020-08-16,Netherlands,8852
69,Rebecca Morris,jonathan80@gmail.com,2022-11-22,Belgium,3329
70,Joseph Lopez,emily44@heath.com,2020-02-19,Gambia,9882
71,Andrea Murray,starkrobert@yahoo.com,2023-09-03,Kazakhstan,8965
72,Brad Garcia,nhenson@salazar-meyers.net,2023-02-10,Armenia,9627
73,Danielle Robinson,luis61@hotmail.com,2022-03-09,New Caledonia,4712
74,Christina Phillips,qherrera@yahoo.com,2021-09-23,Andorra,7290
75,Richard Garcia,jefferyhobbs@hotmail.com,2019-10-24,Saint Vincent and the Grenadines,1501
76,Jessica Williams,david95@gmail.com,2024-05-28,Panama,9769
77,Patrick Valenzuela,emily35@castillo.com,2024-06-17,Macedonia,6306
78,Kevin Johnson,lmoore@esparza.info,2024-08-07,Seychelles,5194
79,Cindy Oconnor,lgomez@fuller.org,2019-12-23,Mali,9431
80,Katherine Parker,donnasimpson@castillo.com,2020-12-04,Netherlands Antilles,3966
81,Corey Stewart,nacevedo@gmail.com,2022-06-09,Saint Kitts and Nevis,4756
82,Danielle Roy,max24@kelly.com,2021-01-15,Guinea,3012
83,Mark Johnson,perezdesiree@nicholson.biz,2020-11-29,Uganda,3102
84,Joann Thomas,debrachandler@hotmail.com,2023-03-26,Hong Kong,3059
85,Steven Ferguson,cunninghamdavid@yahoo.com,2021-03-19,Afghanistan,540
86,Lisa Stanley,riveramary@wright.com,2024-07-13,Chile,4260
87,Jessica Hancock,nmckinney@williams.biz,2019-12-27,Nigeria,7807
88,Amanda Davis,stephenromero@gmail.com,2023-03-14,Guadeloupe,1131
89,Johnathan Long,andrea08@hotmail.com,2024-06-14,Estonia,1471
90,Amanda Foster,dreed@nelson.com,2024-09-15,Reunion,2133
91,Donna Parks,paul43@knight.com,2024-09-28,Peru,2450
92,Melanie Gomez,meghan09@cunningham.com,2022-03-26,Nigeria,633
93,Johnny Powell,aarontaylor@gmail.com,2023-07-07,Brunei Darussalam,1314
94,Adam Griffith,chadboyle@yahoo.com,2021-03-27,Malta,8857
95,Matthew Moore,rfischer@mitchell-patterson.com,2021-12-14,Martinique,6410
96,Emily Peterson,meganbrady@gmail.com,2024-07-19,Hungary,8594
97,Travis Hoffman,rachelcox@gmail.com,2021-05-30,Niue,4515
98,Michael Smith,joshuaduffy@miller-west.info,2024-02-01,Ukraine,8549
99,Michele Rubio,bmclean@foster.com,2022-07-18,Bermuda,3858
100,Johnathan Farmer,xhughes@garrett.com,2024-09-17,Lao People's Democratic Republic,3525
101,Keith Elliott,lynn67@hotmail.com,2020-11-27,Armenia,9663
102,Sean Ward,jenniferpowers@williams-hebert.com,2022-06-08,India,6871
103,Victoria Hubbard,mlambert@gmail.com,2023-03-12,Tonga,9497
104,Anthony Martinez,tthornton@williams.net,2023-01-19,Zambia,4509
105,Robert Hess,lisaharris@murphy-erickson.com,2024-02-27,Vietnam,7382
106,Thomas Sherman,benjaminrichards@hotmail.com,2024-02-11,Antigua and Barbuda,8071
107,Emily Arroyo,zcarr@boyd-mckinney.com,2023-10-23,Sierra Leone,5855
108,Kimberly Hoover,hesschristopher@yahoo.com,2022-10-02,Mongolia,1349
109,Roy Hunt,loganjohnson@martinez.com,2023-04-11,Oman,5313
110,Eric Price,michaelconley@russell.com,2021-12-06,Peru,1889
111,Samuel Chavez,chavezjoseph@brown-davis.com,2022-09-27,Angola,7969
